abies_concolor,Precision,2.5,Recall,10
abies_nordmanniana,Precision,4.651163,Recall,28.57143
acer_campestre,Precision,0,Recall,0
acer_ginnala,Precision,0,Recall,0
acer_griseum,Precision,0,Recall,0
acer_negundo,Precision,0,Recall,0
acer_palmatum,Precision,0,Recall,0
acer_pensylvanicum,Precision,0,Recall,0
acer_platanoides,Precision,0,Recall,0
acer_pseudoplatanus,Precision,100,Recall,33.33334
acer_rubrum,Precision,0,Recall,0
acer_saccharinum,Precision,0,Recall,0
acer_saccharum,Precision,0,Recall,0
aesculus_flava,Precision,0,Recall,0
aesculus_glabra,Precision,0,Recall,0
aesculus_hippocastamon,Precision,0,Recall,0
aesculus_pavi,Precision,0,Recall,0
ailanthus_altissima,Precision,0,Recall,0
albizia_julibrissin,Precision,0,Recall,0
amelanchier_arborea,Precision,0,Recall,0
amelanchier_canadensis,Precision,0,Recall,0
amelanchier_laevis,Precision,0,Recall,0
asimina_triloba,Precision,0,Recall,0
betula_alleghaniensis,Precision,0,Recall,0
betula_jacqemontii,Precision,0,Recall,0
betula_lenta,Precision,100,Recall,50
betula_nigra,Precision,0,Recall,0
betula_populifolia,Precision,0,Recall,0
broussonettia_papyrifera,Precision,0,Recall,0
carpinus_betulus,Precision,0,Recall,0
carpinus_caroliniana,Precision,0,Recall,0
carya_cordiformis,Precision,0,Recall,0
carya_glabra,Precision,0,Recall,0
carya_ovata,Precision,0,Recall,0
carya_tomentosa,Precision,0,Recall,0
castanea_dentata,Precision,0,Recall,0
catalpa_bignonioides,Precision,0,Recall,0
catalpa_speciosa,Precision,14.89362,Recall,50
cedrus_atlantica,Precision,0,Recall,0
cedrus_deodara,Precision,0,Recall,0
cedrus_libani,Precision,0,Recall,0
celtis_occidentalis,Precision,2.597403,Recall,50
celtis_tenuifolia,Precision,0,Recall,0
cercidiphyllum_japonicum,Precision,0,Recall,0
cercis_canadensis,Precision,4.761905,Recall,12.5
chamaecyparis_pisifera,Precision,0,Recall,0
chamaecyparis_thyoides,Precision,0,Recall,0
chionanthus_retusus,Precision,0,Recall,0
chionanthus_virginicus,Precision,3.174603,Recall,22.22222
cladrastis_lutea,Precision,0,Recall,0
cornus_florida,Precision,0,Recall,0
cornus_kousa,Precision,2.564103,Recall,33.33334
cornus_mas,Precision,0,Recall,0
corylus_colurna,Precision,0,Recall,0
crataegus_crus-galli,Precision,0,Recall,0
crataegus_laevigata,Precision,0,Recall,0
crataegus_phaenopyrum,Precision,50,Recall,25
crataegus_pruinosa,Precision,100,Recall,16.66667
crataegus_viridis,Precision,0,Recall,0
cryptomeria_japonica,Precision,25,Recall,7.692308
diospyros_virginiana,Precision,0,Recall,0
eucommia_ulmoides,Precision,0,Recall,0
evodia_daniellii,Precision,0,Recall,0
fagus_grandifolia,Precision,0,Recall,0
ficus_carica,Precision,0,Recall,0
fraxinus_americana,Precision,0,Recall,0
fraxinus_nigra,Precision,0,Recall,0
fraxinus_pennsylvanica,Precision,0,Recall,0
ginkgo_biloba,Precision,0,Recall,0
gleditsia_triacanthos,Precision,0,Recall,0
gymnocladus_dioicus,Precision,100,Recall,80
halesia_tetraptera,Precision,0,Recall,0
ilex_opaca,Precision,0,Recall,0
juglans_cinerea,Precision,0,Recall,0
juglans_nigra,Precision,0,Recall,0
juniperus_virginiana,Precision,100,Recall,7.692308
koelreuteria_paniculata,Precision,0,Recall,0
larix_decidua,Precision,0,Recall,0
liquidambar_styraciflua,Precision,0,Recall,0
liriodendron_tulipifera,Precision,0,Recall,0
maclura_pomifera,Precision,0,Recall,0
magnolia_acuminata,Precision,0,Recall,0
magnolia_denudata,Precision,0,Recall,0
magnolia_grandiflora,Precision,0,Recall,0
magnolia_macrophylla,Precision,0,Recall,0
magnolia_soulangiana,Precision,0,Recall,0
magnolia_stellata,Precision,2.380952,Recall,11.11111
magnolia_tripetala,Precision,0,Recall,0
magnolia_virginiana,Precision,2.12766,Recall,9.090909
malus_angustifolia,Precision,0,Recall,0
malus_baccata,Precision,0,Recall,0
malus_coronaria,Precision,0,Recall,0
malus_floribunda,Precision,0,Recall,0
malus_hupehensis,Precision,0,Recall,0
malus_pumila,Precision,0,Recall,0
metasequoia_glyptostroboides,Precision,7.692308,Recall,10
morus_alba,Precision,0,Recall,0
morus_rubra,Precision,0,Recall,0
nyssa_sylvatica,Precision,1.851852,Recall,12.5
ostrya_virginiana,Precision,0,Recall,0
oxydendrum_arboreum,Precision,0,Recall,0
paulownia_tomentosa,Precision,0,Recall,0
phellodendron_amurense,Precision,0,Recall,0
picea_abies,Precision,0,Recall,0
picea_orientalis,Precision,9.523809,Recall,25
picea_pungens,Precision,1.694915,Recall,11.11111
pinus_bungeana,Precision,10,Recall,10
pinus_cembra,Precision,0,Recall,0
pinus_densiflora,Precision,22.22222,Recall,25
pinus_echinata,Precision,0,Recall,0
pinus_flexilis,Precision,0,Recall,0
pinus_koraiensis,Precision,0,Recall,0
pinus_nigra,Precision,0,Recall,0
pinus_parviflora,Precision,0,Recall,0
pinus_peucea,Precision,0,Recall,0
pinus_pungens,Precision,0,Recall,0
pinus_resinosa,Precision,5.555556,Recall,10
pinus_rigida,Precision,4.6875,Recall,37.5
pinus_strobus,Precision,0,Recall,0
pinus_sylvestris,Precision,0,Recall,0
pinus_taeda,Precision,0,Recall,0
pinus_thunbergii,Precision,3.571429,Recall,50
pinus_virginiana,Precision,2.173913,Recall,11.11111
pinus_wallichiana,Precision,0,Recall,0
platanus_acerifolia,Precision,0,Recall,0
platanus_occidentalis,Precision,0,Recall,0
populus_deltoides,Precision,0,Recall,0
populus_grandidentata,Precision,0,Recall,0
populus_tremuloides,Precision,0,Recall,0
prunus_pensylvanica,Precision,0,Recall,0
prunus_sargentii,Precision,100,Recall,3.030303
prunus_serotina,Precision,10,Recall,25
prunus_serrulata,Precision,0,Recall,0
prunus_subhirtella,Precision,0,Recall,0
prunus_virginiana,Precision,0,Recall,0
prunus_yedoensis,Precision,0,Recall,0
pseudolarix_amabilis,Precision,0,Recall,0
ptelea_trifoliata,Precision,0,Recall,0
pyrus_calleryana,Precision,0,Recall,0
quercus_acutissima,Precision,0,Recall,0
quercus_alba,Precision,0,Recall,0
quercus_bicolor,Precision,0,Recall,0
quercus_cerris,Precision,0,Recall,0
quercus_coccinea,Precision,0,Recall,0
quercus_falcata,Precision,0,Recall,0
quercus_imbricaria,Precision,20,Recall,20
quercus_macrocarpa,Precision,0,Recall,0
quercus_marilandica,Precision,0,Recall,0
quercus_michauxii,Precision,0,Recall,0
quercus_montana,Precision,0,Recall,0
quercus_muehlenbergii,Precision,0,Recall,0
quercus_nigra,Precision,0,Recall,0
quercus_palustris,Precision,0,Recall,0
quercus_phellos,Precision,0,Recall,0
quercus_robur,Precision,0,Recall,0
quercus_rubra,Precision,0,Recall,0
quercus_shumardii,Precision,0,Recall,0
quercus_stellata,Precision,0,Recall,0
quercus_velutina,Precision,0,Recall,0
quercus_virginiana,Precision,0.8928572,Recall,11.11111
robinia_pseudo-acacia,Precision,0,Recall,0
salix_babylonica,Precision,0,Recall,0
salix_caroliniana,Precision,0,Recall,0
salix_matsudana,Precision,0,Recall,0
salix_nigra,Precision,0,Recall,0
sassafras_albidum,Precision,2.222222,Recall,25
staphylea_trifolia,Precision,0,Recall,0
stewartia_pseudocamellia,Precision,0,Recall,0
styrax_japonica,Precision,1.851852,Recall,4.761905
styrax_obassia,Precision,0,Recall,0
syringa_reticulata,Precision,0,Recall,0
taxodium_distichum,Precision,7.142858,Recall,8.333334
tilia_americana,Precision,0,Recall,0
tilia_cordata,Precision,0,Recall,0
tilia_europaea,Precision,0,Recall,0
tilia_tomentosa,Precision,0,Recall,0
toona_sinensis,Precision,0,Recall,0
tsuga_canadensis,Precision,0,Recall,0
ulmus_americana,Precision,100,Recall,33.33334
ulmus_glabra,Precision,0,Recall,0
ulmus_parvifolia,Precision,0,Recall,0
ulmus_pumila,Precision,0,Recall,0
ulmus_rubra,Precision,0,Recall,0
zelkova_serrata,Precision,0,Recall,0
,,,,
,,5.031166849,,4.239162212
